CD_setor;V01006;V01007;V01008;V01009;V01010;V01011;V01012;V01013;V01014;V01015;V01016;V01017;V01018;V01019;V01020;V01021;V01022;V01023;V01024;V01025;V01026;V01027;V01028;V01029;V01030;V01031;V01032;V01033;V01034;V01035;V01036;V01037;V01038;V01039;V01040;V01041
352440205000275;88;45;43;X;3;5;X;3;X;15;6;4;0;4;X;X;4;4;4;4;10;3;7;X;X;4;5;9;5;7;6;25;9;11;X;6
352440205000282;289;140;149;9;13;11;8;3;7;35;33;9;8;4;12;11;13;6;3;7;38;35;11;9;4;21;24;24;14;6;14;73;68;20;17;8
352440205000284;581;262;319;16;9;22;16;11;12;41;48;31;36;20;18;19;16;21;18;12;45;49;47;35;39;34;28;38;37;29;24;86;97;78;71;59
352440205000288;523;251;272;21;27;25;18;16;19;57;32;26;6;4;21;22;20;20;21;24;49;44;30;11;10;42;49;45;38;37;43;106;76;56;17;14
352440205000297;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
352440205000312;94;47;47;X;0;3;3;X;5;4;9;5;9;6;4;4;6;X;4;X;10;4;4;5;3;5;4;9;5;6;6;14;13;9;14;9
352440205000313;94;52;42;X;3;5;5;X;X;10;10;8;X;5;4;X;X;3;4;X;9;X;4;7;5;5;5;6;8;6;X;19;12;12;9;10
352440205000320;136;82;54;3;5;8;X;5;7;9;14;11;10;9;X;3;4;4;X;X;9;9;5;10;6;5;8;12;5;6;8;18;23;16;20;15
352440205000321;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
352440205000333;46;24;22;X;X;3;4;X;X;4;4;X;X;X;X;4;0;3;X;X;6;X;0;3;0;3;5;3;7;X;4;10;5;X;4;X
352440205000339;288;133;155;12;10;15;11;13;6;20;24;12;8;X;11;18;17;16;5;13;22;22;13;11;7;23;28;32;27;18;19;42;46;25;19;9
352440205000340;749;379;370;28;22;27;28;43;26;56;49;53;27;20;21;31;32;19;40;26;52;53;43;30;23;49;53;59;47;83;52;108;102;96;57;43
352440205000341;422;222;200;17;17;18;22;27;18;22;25;28;18;10;12;18;10;17;23;15;25;32;24;17;7;29;35;28;39;50;33;47;57;52;35;17
352440205000348;885;433;452;38;31;31;52;40;42;81;44;38;22;14;28;39;44;37;48;27;70;51;55;35;18;66;70;75;89;88;69;151;95;93;57;32
352440205000350;171;94;77;4;5;8;3;6;5;13;18;15;8;9;X;6;4;6;4;X;15;14;13;7;6;5;11;12;9;10;6;28;32;28;15;15
352440205000360;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
